579.2615385,3.221350214
582.4882943,3.182817024
582.8468227,3.142424797
584.9979933,3.099755657
588.9617243,3.057199243
590.3922165,3.011204091
594.7380156,2.960871125
599.3690078,2.907822007
604.4826344,2.852900021
608.4816054,2.804589763
613.8595318,2.764944597
617.0862876,2.726197696
624.7946488,2.684740756
629.8140468,2.642764953
637.5775662,2.600231866
646.8441472,2.561071635
655.090301,2.522974653
664.9498328,2.485262816
676.6020067,2.445104762
689.3895206,2.407342309
703.8277592,2.372544724
719.9839465,2.341998298
739.3444816,2.315760812
759.0635452,2.287742226
778.7826087,2.26417449
798.5016722,2.243626974
818.2207358,2.226099678
837.9397993,2.210797807
857.6588629,2.197244484
877.3779264,2.184962833
897.09699,2.174270771
916.8160535,2.164532462
936.5351171,2.156065826
956.2541806,2.148552942
975.9732441,2.141516936
995.6923077,2.134639889
1015.411371,2.12951139
1035.130435,2.123111219
1054.849498,2.118300638
1074.568562,2.113966933
1094.287625,2.108520516
1114.006689,2.104822648
1133.725753,2.101601656
1153.444816,2.097903787
1173.16388,2.09547759
1192.882943,2.090984926
1212.602007,2.089353524
1232.32107,2.086291491
1252.040134,2.082593622
1271.759197,2.081121179
1291.478261,2.078853941
1311.197324,2.075791908
1330.916388,2.074637382
1350.635452,2.071893267
1370.354515,2.071056659
1390.073579,2.068312544
1409.792642,2.067634895
1429.511706,2.065208698
1449.230769,2.064531049
1468.949833,2.063376524
1488.668896,2.060950326
1508.38796,2.060908513
1528.107023,2.058482316
1547.826087,2.05732779
1567.545151,2.057285977
1587.264214,2.055654575
1606.983278,2.053705254
1626.702341,2.053663441
1646.421405,2.05330371
1666.140468,2.051831267
1685.859532,2.050199864
1705.578595,2.048568462
1725.297659,2.048208731
1745.016722,2.048166918
1764.735786,2.047489269
1784.454849,2.046334743
1804.173913,2.04629293
1823.892977,2.046251117
1843.61204,2.045891386
1863.331104,2.04330623
1883.050167,2.042628581
1902.769231,2.041474055
1922.488294,2.040796406
1942.207358,2.039006045
1961.926421,2.038964232
1981.645485,2.038922419
1995.986622,2.039591429
